millis,Pres,Temp,NH3,CO,NO2
15127,101170,25,272,950,71
15448,101166,25,272,951,71
15768,101168,25,274,951,72
16089,101170,25,276,951,72
16412,101162,25,278,952,72
16733,101166,25,280,952,72
17053,101165,25,281,952,73
17374,101165,25,281,951,73
17695,101164,25,282,951,73
18016,101168,25,282,951,73
18336,101165,25,283,951,73
18657,101169,25,283,951,73
18977,101170,25,284,952,74
19298,101169,25,285,952,74
19619,101165,25,286,953,74
19941,101165,25,288,953,74
20262,101164,25,289,953,74
20583,101167,24.9,289,953,75
20903,101167,24.9,290,953,75
21227,101167,24.9,292,953,75
21548,101166,24.9,292,953,75
21868,101166,24.9,293,953,75
22189,101168,24.9,293,952,76
22510,101169,24.9,293,952,76
22831,101170,24.9,294,952,76
23151,101171,24.9,295,952,76
23472,101169,24.9,295,952,76
23792,101170,24.9,295,951,76
24114,101172,24.9,295,951,76
24434,101172,24.9,294,951,77
24755,101182,24.9,294,951,77
25075,101176,24.9,294,951,77
25396,101175,24.9,294,951,77
25716,101173,24.9,294,951,77
26040,101171,24.9,295,951,77
26360,101175,24.9,295,951,77
26681,101175,24.9,295,951,77
27001,101174,24.9,295,951,77
27322,101175,24.9,295,951,77
27642,101174,24.9,295,951,77
27964,101175,24.9,295,951,78
28284,101172,24.9,296,951,78
28605,101172,24.9,296,951,78
28925,101174,24.9,296,951,78
29246,101176,24.9,296,951,78
29568,101172,24.9,296,950,78
29888,101172,24.9,296,950,78
30209,101171,24.9,296,950,78
30530,101167,24.9,296,950,78
30853,101173,24.9,296,950,78
31173,101173,24.9,296,950,78
31494,101169,24.9,296,950,78
31814,101168,24.9,296,950,78
32135,101169,24.9,296,950,78
32456,101166,24.9,296,950,78
32777,101172,24.9,296,950,78
33097,101173,24.9,295,950,79
33418,101172,24.9,295,950,79
33738,101170,24.9,295,950,79
34059,101171,24.9,295,950,79
34379,101168,24.9,295,950,79
34700,101170,24.9,295,950,79
35020,101173,24.9,295,950,79
35341,101175,24.9,296,950,79
35664,101174,24.9,296,950,79
35985,101174,24.9,296,950,79
36305,101174,24.9,296,950,79
36626,101173,24.9,296,950,79
36946,101171,24.9,297,950,79
37268,101171,24.9,297,950,79
37588,101171,24.9,297,950,79
37909,101176,24.9,297,950,79
38230,101170,24.9,298,950,79
38550,101170,24.9,298,950,79
38872,101170,24.9,298,950,80
39193,101172,24.9,298,950,80
39514,101174,24.9,299,950,80
39835,101176,24.9,299,950,80
40156,101178,24.9,299,950,80
40476,101174,24.9,299,950,80
40795,101176,24.9,299,949,80
41115,101171,24.9,299,949,80
41436,101170,24.9,299,949,80
41757,101173,24.9,299,949,80
42078,101174,24.9,299,949,80
42398,101170,24.9,299,949,80
42719,101171,24.9,299,949,80
43039,101175,24.9,299,949,80
43360,101175,24.9,299,949,80
43681,101176,24.9,299,949,80
44002,101174,24.9,299,949,80
44322,101178,24.9,299,949,80
44643,101176,24.9,299,949,80
44963,101175,24.9,299,949,80
45285,101177,24.9,299,949,80
45607,101173,24.9,299,949,81
45929,101175,24.9,299,949,81
46249,101171,24.9,299,949,81
46570,101173,24.9,299,949,81
46891,101173,24.9,299,949,81
47211,101172,24.9,299,948,81
47532,101176,24.9,299,948,81
47853,101174,24.9,299,948,81
48174,101173,24.9,299,948,81
48494,101171,24.9,299,948,81
48815,101169,24.9,299,948,81
49137,101177,24.9,299,948,81
49458,101174,24.9,299,948,81
49778,101173,24.9,299,948,81
50099,101166,24.9,299,948,81
50422,101169,24.9,299,948,81
50743,101173,24.9,299,948,81
51064,101172,24.9,299,948,81
51385,101171,24.9,299,948,81
51705,101174,24.9,299,948,81
52026,101171,24.9,299,948,81
52346,101176,24.9,299,948,81
52667,101171,24.9,299,948,81
52988,101172,24.9,299,948,81
53309,101171,24.9,299,948,81
53629,101172,24.9,299,948,81
53950,101169,24.9,299,948,81
54270,101170,24.9,299,948,81
54591,101168,24.9,299,948,82
54913,101172,24.9,299,948,82
55235,101171,24.9,299,948,82
55557,101170,24.9,299,948,82
55877,101171,24.9,299,947,82
56198,101173,24.9,300,948,82
56518,101168,24.9,299,948,82
56839,101171,24.9,299,948,82
57160,101171,24.9,300,948,82
57481,101172,24.9,300,948,82
57801,101170,24.9,300,948,82
58122,101168,24.9,300,948,82
58442,101168,24.9,300,948,82
58765,100453,24.9,300,948,82
59085,99058,24.9,299,948,82
59407,97519,24.9,299,947,82
59727,95995,24.9,299,947,82
60051,94493,24.9,299,947,82
60371,93043,24.9,298,947,82
60692,91636,24.9,298,947,82
61012,90258,24.9,297,947,82
61333,88919,24.9,297,947,82
61655,87617,24.9,296,946,81
61975,86364,24.9,296,946,81
62296,85208,24.9,295,946,81
62616,84086,24.9,295,946,81
62937,82988,24.9,294,946,81
63258,81908,24.9,293,946,81
63579,80847,24.9,293,946,81
63899,79810,24.9,292,946,81
64220,78795,24.9,292,946,81
64540,77798,24.9,291,946,80
64864,76811,24.9,291,946,80
65184,75849,24.9,291,945,80
65505,74902,24.9,290,945,80
millis,Pres,Temp,NH3,CO,NO2
661,101166,25.8,51,742,57
980,101164,25.8,55,818,55
1301,101162,25.8,60,857,53
1622,101165,25.8,66,884,52
1942,101167,25.8,74,900,51
2263,101162,25.8,81,907,51
2583,101166,25.8,88,911,51
2904,101160,25.8,94,916,51
3227,101163,25.8,99,920,50
