millis,Pres,Temp,NH3,CO,NO2
364873,101044,27,367,932,102
365196,101047,27,367,932,102
365519,101048,27,367,932,102
365842,101051,27,367,932,102
366164,101048,27,367,932,102
366488,101048,27,367,932,102
366811,101049,27,367,932,102
367136,101050,27,367,932,102
367460,101047,27,367,932,102
367782,101047,27,368,932,103
368106,101049,27,368,932,103
368429,101044,27,368,932,103
368752,101048,27,367,932,102
369075,101049,27,367,932,103
369397,101047,27,367,932,103
369721,101047,27,367,932,103
370043,101048,27,366,931,103
370367,101048,27,366,931,103
370690,101048,27,366,931,103
371013,101051,27,366,931,102
371336,101049,27,366,931,103
371658,101048,27,365,931,102
371991,101048,27,365,931,103
372314,101048,27,365,931,103
372637,101046,27,365,931,103
372960,101054,27.1,365,931,103
373283,101051,27.1,365,931,103
373606,101052,27.1,365,931,103
373928,101048,27,365,931,103
374252,101047,27.1,365,931,103
374575,101049,27.1,365,931,103
374898,101048,27.1,365,931,103
375221,101046,27.1,365,931,103
375544,101045,27.1,365,931,103
375867,101048,27.1,366,932,103
376189,101052,27.1,366,932,103
376516,101052,27.1,366,932,103
376839,101048,27.1,366,932,103
377161,101051,27.1,366,932,103
377485,101054,27.1,366,932,103
377807,101051,27.1,366,932,103
378131,101048,27.1,366,932,103
378454,101051,27.1,366,932,103
378776,101050,27.1,366,931,103
379100,101046,27.1,366,931,103
379422,101047,27.1,365,931,103
379746,101051,27.1,365,931,103
380068,101049,27.1,365,931,103
380392,101046,27.1,365,931,103
380715,101047,27.1,365,931,103
381040,101048,27.1,365,931,103
381368,101049,27.1,365,931,103
381692,101049,27.1,365,931,103
382016,101046,27.1,365,931,103
382339,101049,27.1,365,931,103
382661,101047,27.1,365,931,103
382985,101050,27.1,365,931,103
383307,101047,27.1,364,931,103
383631,101051,27.1,364,931,103
383953,101050,27.1,364,931,103
384277,101047,27.1,364,931,103
384600,101052,27.1,364,931,103
384923,101050,27.1,364,931,103
385246,101048,27.1,364,931,103
385571,101052,27.1,364,931,103
385895,101054,27.1,364,931,103
386217,101050,27.1,364,931,103
386541,101051,27.1,364,931,103
386864,101049,27.1,364,931,103
387186,101049,27.1,364,931,103
387510,101051,27.1,364,931,103
387832,101047,27.1,364,931,103
388156,101054,27.1,364,931,103
388478,101052,27.1,364,931,103
388801,101049,27.1,364,931,103
389125,101050,27.1,364,931,103
389447,101048,27.1,363,931,103
389771,101047,27.1,363,931,103
390096,101049,27.1,363,930,103
390419,101050,27.1,363,930,103
390742,101053,27.1,363,930,103
391070,101048,27.1,363,930,103
391394,101046,27.1,363,930,103
391717,101045,27.1,363,931,103
392040,101045,27.1,363,931,103
392363,101049,27.1,363,931,103
392686,101050,27.1,363,931,103
393009,101049,27.1,363,931,103
393331,101048,27.1,363,931,103
393655,101047,27.1,363,931,103
393977,101049,27.1,363,931,103
394300,101047,27.1,363,931,103
394622,101049,27.1,363,931,103
394949,101049,27.1,363,931,103
395272,101043,27.1,363,930,103
395594,101048,27.1,363,931,103
395917,101043,27.1,363,930,103
396240,101043,27.1,362,930,103
396563,101041,27.1,362,930,103
396886,101045,27.1,362,930,103
397209,101045,27.1,362,930,103
397532,101046,27.2,362,930,103
397854,101046,27.1,362,930,103
398178,101049,27.2,362,930,103
398500,101050,27.2,362,930,103
398823,101048,27.2,362,930,103
399147,101045,27.2,362,930,103
399472,101044,27.2,362,930,103
399795,101042,27.2,362,930,103
400117,101044,27.2,362,930,103
400441,101045,27.2,362,930,103
400763,101049,27.2,362,930,103
401093,101043,27.2,362,930,103
401417,101046,27.2,362,930,103
401739,101047,27.2,362,930,103
402063,101044,27.2,362,930,103
402385,101050,27.2,362,930,103
402708,101045,27.2,362,930,103
403032,101044,27.2,362,930,103
403354,101043,27.2,362,930,103
403678,101046,27.2,362,930,103
404003,101046,27.2,362,930,103
404326,101047,27.2,362,930,103
404649,101046,27.2,362,930,103
404972,101045,27.2,362,930,103
405296,101045,27.2,362,930,103
405618,101046,27.2,362,930,103
405942,101048,27.2,362,930,103
406264,101048,27.2,362,930,103
406587,101045,27.2,362,930,103
406910,101047,27.2,362,930,103
407233,101050,27.2,362,930,103
407557,101051,27.2,362,930,103
407879,101049,27.2,362,930,103
408203,101048,27.2,362,930,103
408528,101049,27.2,362,930,103
408851,101043,27.2,362,930,103
409175,101049,27.2,362,930,103
409497,101043,27.2,362,929,103
409820,101048,27.2,362,929,103
410143,101043,27.2,362,929,103
410466,101046,27.2,362,929,103
410796,101045,27.2,362,929,103
411118,101047,27.2,362,929,103
411441,101046,27.2,362,929,103
411764,101045,27.2,362,929,103
412087,101049,27.2,362,930,103
412410,101045,27.2,362,930,103
412733,101045,27.2,362,930,103
413056,101045,27.2,362,930,103
413382,101051,27.2,362,930,103
413705,101044,27.2,362,930,103
414027,101044,27.2,362,930,103
414351,101045,27.2,362,930,103
414673,101042,27.2,362,930,103
414997,101048,27.2,362,930,103
415320,101048,27.2,362,931,103
415642,101046,27.2,362,931,103
415966,101046,27.2,362,931,104
416288,101045,27.2,362,931,103
416612,101048,27.2,362,931,103
416934,101045,27.2,362,931,104
417258,101048,27.2,362,931,104
417581,101049,27.2,362,930,104
417906,101047,27.2,362,931,104
418230,101044,27.2,362,931,104
418552,101050,27.2,362,931,104
418875,101043,27.2,362,931,104
419198,101047,27.2,362,931,104
419521,101043,27.2,362,931,104
419845,101044,27.2,362,931,104
420167,101045,27.3,362,931,104
420497,101045,27.3,362,931,104
420819,101047,27.3,362,931,104
421143,101047,27.3,362,931,104
421466,101044,27.3,362,931,104
421789,101045,27.3,362,931,104
422112,101042,27.3,362,931,104
422437,101046,27.3,362,931,104
422761,101043,27.3,362,931,104
423084,101041,27.3,362,931,104
423407,101045,27.3,362,931,104
423730,101044,27.3,362,931,104
424052,101046,27.3,362,931,104
424376,101050,27.3,362,931,104
424698,101045,27.3,362,931,104
425022,101045,27.3,362,931,104
425345,101053,27.3,362,931,104
425668,101057,27.3,362,931,104
425991,101050,27.3,362,931,104
426314,101051,27.3,362,931,104
426637,101047,27.3,362,931,104
426962,101052,27.3,362,931,104
427285,101048,27.3,362,931,104
427609,101051,27.3,362,931,104
427931,101050,27.3,362,930,104
428254,101050,27.3,362,931,104
428576,101051,27.3,362,931,104
428900,101048,27.3,362,931,104
429222,101053,27.3,362,931,104
429545,101052,27.3,362,931,104
429869,101048,27.3,362,931,104
430197,101051,27.3,362,931,104
430521,101051,27.3,362,931,104
430843,101050,27.3,362,931,104
431166,101050,27.3,362,931,104
431492,101054,27.3,362,931,104
431815,101054,27.3,362,931,104
432138,101053,27.3,362,931,104
432460,101050,27.3,362,931,104
432784,101051,27.3,362,931,104
433106,101051,27.3,363,931,104
433429,101050,27.3,363,931,104
433752,101050,27.3,363,931,104
434075,101049,27.3,363,931,104
434398,101049,27.3,363,931,104
434720,101051,27.3,363,931,104
435044,101049,27.3,363,931,104
435366,101056,27.3,362,931,104
435689,101053,27.3,362,931,104
436013,101054,27.3,362,930,104
436338,101053,27.3,362,930,104
436661,101054,27.3,362,930,104
436984,101048,27.3,362,931,104
437307,101049,27.3,362,931,104
437629,101051,27.3,362,931,104
437953,101053,27.3,362,931,104
438276,101051,27.3,362,931,104
438599,101053,27.3,362,931,104
438922,101053,27.3,362,931,104
439244,101052,27.3,362,931,104
439568,101055,27.3,362,931,104
439896,101056,27.3,362,931,104
440220,101056,27.4,362,931,104
440544,101053,27.3,361,930,104
440869,101050,27.3,361,930,104
441192,101054,27.3,361,930,104
441516,101052,27.4,361,930,104
441838,101051,27.4,361,930,104
442162,101056,27.4,360,930,104
442484,101052,27.4,360,930,104
442807,101048,27.4,361,930,104
443130,101055,27.4,361,931,104
443453,101053,27.4,362,931,104
443777,101053,27.4,363,932,104
444099,101054,27.4,363,931,104
444423,101049,27.4,363,931,104
444745,101049,27.4,363,931,105
445068,101055,27.4,363,931,104
445394,101053,27.4,362,931,104
445717,101053,27.4,362,931,104
446040,101059,27.4,362,930,104
446363,101053,27.4,362,930,104
446686,101052,27.4,362,930,104
447009,101053,27.4,361,930,105
447332,101053,27.4,361,930,104
447655,101053,27.4,361,930,105
447978,101051,27.4,361,930,105
448301,101055,27.4,361,930,105
448624,101052,27.4,361,930,104
448947,101055,27.4,361,930,104
449270,101054,27.4,361,929,105
449598,101054,27.4,361,930,104
449926,101054,27.4,361,930,104
450248,101053,27.4,361,930,105
450571,101049,27.4,361,930,105
450894,101053,27.4,361,930,105
451217,101052,27.4,361,930,104
451540,101047,27.4,361,930,104
451863,101049,27.4,361,930,104
452187,101049,27.4,361,930,105
452509,101052,27.4,361,929,105
452832,101052,27.4,361,930,105
453155,101050,27.4,361,930,105
453478,101055,27.4,361,930,105
453801,101051,27.4,361,930,105
454124,101051,27.4,361,930,105
454447,101052,27.4,361,930,105
454773,101051,27.4,361,930,105
455096,101051,27.4,361,930,105
455419,101050,27.4,361,929,105
455742,101049,27.4,361,929,105
456065,101051,27.4,361,929,105
456388,101047,27.4,361,930,105
456711,101050,27.4,361,930,105
457034,101051,27.4,361,930,105
457357,101048,27.4,361,930,105
457680,101050,27.4,361,930,105
458003,101051,27.4,361,930,105
458326,101053,27.4,361,930,105
458649,101057,27.4,361,929,105
458972,101050,27.4,361,930,105
459304,101051,27.4,361,930,105
459627,101051,27.4,361,930,105
459951,101051,27.4,361,930,105
460273,101051,27.4,361,930,105
460597,101052,27.4,361,930,105
460919,101051,27.4,361,930,105
461243,101056,27.4,361,930,105
461565,101050,27.4,361,930,105
461888,101054,27.4,361,930,105
462212,101054,27.4,361,930,105
462534,101049,27.4,361,930,105
462858,101050,27.4,361,930,105
463180,101052,27.4,361,930,105
463504,101051,27.4,361,930,105
463830,101051,27.4,361,930,105
464152,101051,27.4,361,930,105
464475,101051,27.4,361,930,105
464798,101050,27.4,361,930,105
465121,101052,27.4,361,930,105
465443,101053,27.4,361,930,105
465767,101053,27.4,360,929,105
466089,101051,27.4,360,929,105
466412,101050,27.4,360,929,105
466736,101051,27.5,359,929,105
467058,101050,27.5,359,928,105
467381,101052,27.5,358,928,105
467703,101053,27.5,358,928,105
468027,101051,27.5,358,928,105
468361,101048,27.5,357,928,105
468689,101052,27.5,357,927,105
469013,101050,27.5,357,927,105
469336,101051,27.5,359,928,105
469658,101053,27.5,360,929,105
469982,101051,27.5,360,929,105
470304,101050,27.5,361,930,105
470627,101054,27.5,361,930,105
470950,101055,27.5,362,930,105
471273,101053,27.5,363,931,105
471596,101054,27.5,364,931,105
471919,101050,27.5,364,932,105
472242,101053,27.5,365,932,105
472564,101049,27.5,365,932,105
472891,101050,27.5,365,931,105
473213,101049,27.5,365,931,105
473536,101055,27.5,364,930,105
473860,101053,27.5,363,930,105
474182,101055,27.5,363,929,105
474506,101050,27.5,362,929,105
474828,101050,27.5,362,929,105
475152,101048,27.5,362,929,105
475474,101047,27.5,364,931,105
475798,101049,27.5,365,931,105
476121,101046,27.5,366,932,105
476444,101049,27.5,367,931,106
476767,101046,27.5,367,931,106
477090,101048,27.5,366,930,106
477413,101045,27.5,366,930,106
477740,101046,27.5,366,930,106
478062,101050,27.5,366,930,106
478392,101051,27.5,365,929,106
478715,101052,27.5,365,929,106
479038,101050,27.5,364,929,106
479362,101049,27.5,364,929,106
479684,101047,27.5,363,928,106
480008,101047,27.5,363,928,105
480330,101051,27.5,362,928,105
480654,101051,27.5,362,928,105
480976,101050,27.5,362,928,105
481300,101046,27.5,362,929,105
481624,101046,27.5,362,929,105
481946,101047,27.5,362,929,105
482273,101046,27.5,362,929,105
482595,101047,27.5,361,928,105
482919,101049,27.6,361,928,105
483241,101050,27.6,361,928,105
483565,101049,27.6,361,928,105
483889,101046,27.6,360,928,105
484211,101046,27.6,360,928,105
484535,101046,27.6,360,928,105
484857,101046,27.6,360,928,105
485181,101050,27.6,360,929,105
485504,101051,27.6,360,928,105
485827,101049,27.6,360,928,105
486151,101044,27.6,359,927,105
486473,101047,27.6,359,925,105
486800,101050,27.6,359,925,105
487122,101048,27.6,359,925,105
487446,101045,27.5,358,925,105
487769,101048,27.6,358,924,105
488098,101050,27.6,358,924,105
488421,101048,27.6,357,923,105
488744,101049,27.6,357,923,105
489068,101047,27.6,357,922,105
489391,101050,27.6,357,921,105
489714,101049,27.6,357,921,105
490037,101047,27.6,358,923,105
490360,101048,27.6,360,926,105
490684,101047,27.6,361,927,105
491006,101044,27.6,363,928,105
491333,101048,27.6,364,929,105
491656,101046,27.6,364,929,105
491979,101050,27.6,364,929,106
492302,101050,27.6,364,929,106
492625,101047,27.6,364,929,106
492949,101049,27.6,364,928,106
493272,101047,27.6,363,928,106
493595,101048,27.6,363,928,106
493919,101046,27.6,362,928,106
494241,101046,27.6,362,928,105
494565,101047,27.6,362,928,105
494887,101048,27.6,362,928,105
495211,101048,27.6,362,928,105
495535,101047,27.6,361,929,105
495857,101047,27.6,361,929,105
496184,101048,27.6,362,929,105
496506,101048,27.6,362,929,105
496830,101047,27.6,362,928,105
497153,101043,27.6,362,929,105
497476,101045,27.6,362,929,105
497806,101043,27.6,361,929,105
498129,101043,27.6,362,929,105
498452,101043,27.6,361,929,105
498776,101045,27.6,361,929,105
499098,101047,27.6,361,929,105
499422,101045,27.6,361,929,105
499745,101043,27.6,361,929,106
500068,101044,27.6,361,929,106
500391,101044,27.6,361,929,105
500717,101044,27.6,361,929,105
501040,101047,27.6,360,929,106
501363,101044,27.6,360,929,105
501686,101047,27.6,360,929,106
502008,101047,27.6,360,929,106
502332,101044,27.6,360,928,106
502654,101049,27.6,360,928,106
502977,101046,27.6,359,928,106
503301,101044,27.6,359,927,106
503623,101047,27.6,359,927,105
503947,101044,27.6,358,927,105
504269,101042,27.6,358,927,105
504592,101044,27.6,358,927,105
504914,101044,27.6,359,928,105
505283,101041,27.6,359,928,105
505606,101042,27.6,359,928,105
505929,101043,27.6,359,928,105
506252,101045,27.6,359,928,105
506574,101041,27.6,359,927,105
506898,101044,27.6,359,927,105
507220,101041,27.6,359,928,105
507550,101043,27.6,360,929,105
507873,101045,27.6,361,929,105
508195,101038,27.6,362,930,105
508519,101043,27.6,362,930,105
508841,101040,27.6,362,929,106
509164,101042,27.6,362,929,106
509488,101050,27.7,362,928,106
509813,101048,27.7,362,927,106
510136,101048,27.7,362,927,106
510459,101051,27.7,362,928,106
510782,101053,27.7,362,928,106
511106,101048,27.7,362,928,106
511428,101045,27.7,361,928,106
511752,101048,27.7,361,928,106
512074,101048,27.7,361,928,106
512397,101048,27.7,362,927,106
512720,101052,27.7,363,929,106
513043,101051,27.7,364,929,106
513367,101049,27.7,365,930,106
513689,101048,27.7,366,931,106
514013,101049,27.7,367,931,106
514338,101048,27.7,368,931,106
514661,101046,27.7,368,932,106
514984,101046,27.7,369,932,106
515307,101048,27.7,369,932,106
515631,101050,27.7,370,932,106
515953,101048,27.7,370,932,106
516277,101052,27.7,370,932,106
516599,101047,27.7,370,932,106
516922,101047,27.7,370,932,106
517252,101048,27.7,370,932,107
517575,101044,27.7,370,932,106
517898,101046,27.7,370,932,107
518221,101049,27.7,371,932,107
518544,101049,27.7,372,933,107
518867,101049,27.7,373,933,107
519193,101053,27.7,374,934,107
519516,101051,27.7,374,934,107
519839,101051,27.7,375,934,107
520162,101052,27.7,375,934,107
520484,101052,27.7,375,934,107
520808,101057,27.7,375,934,107
521131,101052,27.7,375,933,107
521454,101054,27.7,375,933,107
521777,101048,27.7,375,933,107
522100,101054,27.7,374,932,107
522423,101052,27.7,374,932,107
522745,101052,27.7,374,932,107
523069,101052,27.7,374,931,107
523392,101051,27.7,374,931,107
523717,101048,27.7,373,931,107
524041,101049,27.7,373,931,107
524363,101049,27.7,373,931,107
524687,101052,27.7,373,931,107
525009,101053,27.7,374,931,107
525333,101047,27.7,374,931,107
525656,101053,27.7,374,931,107
525978,101053,27.7,374,931,107
526302,101052,27.7,374,931,107
526624,101051,27.7,375,932,107
526953,101049,27.7,375,932,107
527277,101045,27.7,376,932,107
527599,101054,27.7,376,932,107
527923,101049,27.7,376,932,107
528248,101055,27.7,376,931,107
528571,101054,27.7,376,931,107
528894,101051,27.7,376,931,107
529217,101057,27.7,375,930,107
529541,101053,27.7,375,930,107
529863,101052,27.7,375,930,107
530187,101048,27.7,374,930,107
530509,101052,27.7,374,930,107
530833,101050,27.7,373,930,107
531155,101049,27.7,373,930,107
531478,101051,27.7,373,930,107
531802,101050,27.7,372,930,107
532124,101052,27.7,372,930,107
532448,101054,27.7,372,930,107
532773,101053,27.7,371,930,107
533096,101048,27.7,371,930,107
533420,101049,27.7,371,930,107
533742,101054,27.7,371,930,107
534066,101051,27.7,371,930,107
534388,101052,27.7,370,930,107
534712,101053,27.7,370,930,107
535034,101046,27.7,370,930,107
535358,101055,27.7,370,930,107
535681,101051,27.7,369,930,107
536003,101055,27.7,369,930,107
536327,101054,27.7,369,930,107
536656,101048,27.7,369,930,107
536979,101048,27.7,369,930,107
537303,101052,27.7,369,931,107
537628,101046,27.7,370,931,107
537951,101048,27.7,371,931,107
538273,101050,27.7,371,931,107
538597,101050,27.7,372,931,107
538919,101051,27.7,371,931,107
539242,101051,27.7,371,930,107
539566,101046,27.7,370,930,107
539888,101044,27.7,369,928,107
540211,101045,27.7,368,927,107
540534,101045,27.7,368,927,107
540857,101046,27.7,367,927,107
541179,101048,27.7,367,927,107
541503,101049,27.7,367,927,107
541826,101047,27.7,367,928,107
542151,101052,27.7,367,928,107
542475,101048,27.7,368,930,107
542797,101046,27.7,370,931,107
543120,101049,27.7,371,932,107
543443,101044,27.8,371,932,107
543766,101047,27.7,372,932,107
544089,101051,27.8,372,932,107
544412,101046,27.8,372,932,107
544735,101046,27.8,372,932,107
545057,101050,27.8,372,932,107
545381,101046,27.8,372,932,107
545703,101045,27.8,372,931,107
546026,101049,27.8,371,932,107
546355,101051,27.8,371,932,107
546681,101047,27.8,371,931,107
547004,101050,27.8,370,930,107
547328,101051,27.8,369,929,107
547650,101049,27.8,369,928,107
547974,101049,27.8,368,928,107
548296,101046,27.8,368,929,107
548620,101045,27.8,368,929,107
548942,101045,27.8,368,929,107
549266,101049,27.8,368,930,107
549588,101051,27.8,368,931,107
549912,101053,27.8,369,931,107
550235,101052,27.8,370,932,107
550557,101050,27.8,371,933,107
550881,101052,27.8,372,933,107
551206,101052,27.8,373,933,107
551530,101051,27.8,374,934,107
551853,101049,27.8,374,934,107
552175,101050,27.8,375,934,107
552499,101050,27.8,375,933,107
552822,101051,27.8,374,933,107
553145,101046,27.8,374,932,107
553468,101044,27.8,374,932,107
553791,101047,27.8,373,932,107
554114,101045,27.8,372,931,107
554437,101048,27.8,372,931,107
554760,101052,27.8,371,930,107
555083,101046,27.8,371,930,107
555406,101046,27.8,370,931,107
555732,101046,27.8,370,931,107
556061,101050,27.8,369,931,107
556385,101050,27.8,369,931,107
556707,101052,27.8,369,931,107
557031,101050,27.8,368,930,107
557353,101048,27.8,368,930,107
557676,101048,27.8,367,930,107
558000,101047,27.8,367,929,107
558322,101052,27.8,367,929,107
558646,101046,27.8,366,929,107
558968,101044,27.8,366,929,107
559292,101048,27.8,366,930,107
559614,101048,27.8,366,930,107
559938,101049,27.8,366,930,107
560261,101049,27.8,366,930,107
560586,101046,27.8,366,930,107
560910,101052,27.8,366,930,107
561232,101048,27.8,366,928,107
561556,101048,27.8,366,928,107
561879,101048,27.8,367,929,107
562202,101046,27.8,368,930,107
562525,101048,27.8,370,931,107
562848,101043,27.8,371,932,107
563171,101048,27.8,372,932,107
563494,101048,27.8,372,932,107
563817,101046,27.8,372,931,107
564141,101044,27.8,372,931,107
564463,101050,27.8,371,930,107
564786,101045,27.8,371,930,107
565112,101048,27.8,370,930,107
565435,101048,27.8,370,929,107
565765,101047,27.8,369,929,107
566087,101045,27.8,369,929,107
566411,101048,27.8,368,929,107
566733,101045,27.8,368,929,107
567056,101051,27.8,367,928,107
567379,101048,27.8,367,927,107
567702,101047,27.8,366,928,107
568026,101043,27.8,367,929,107
568348,101048,27.8,367,929,107
568672,101052,27.8,366,929,107
568994,101050,27.8,366,928,107
569318,101044,27.8,366,928,107
569644,101047,27.8,366,928,107
569966,101047,27.8,367,929,107
570290,101045,27.8,367,930,107
570612,101046,27.8,367,930,107
570936,101044,27.8,367,930,107
571258,101047,27.8,367,930,107
571582,101049,27.8,367,930,108
571905,101044,27.8,367,930,108
572227,101046,27.8,366,929,108
572551,101048,27.8,365,928,108
572873,101043,27.8,365,927,108
573197,101045,27.8,365,926,108
573519,101051,27.9,365,928,108
573843,101050,27.9,367,929,108
574169,101050,27.9,368,930,108
574491,101050,27.9,369,930,108
574814,101052,27.9,370,931,108
575137,101049,27.9,370,931,108
575466,101051,27.9,370,931,108
575790,101051,27.9,370,931,108
576112,101047,27.9,370,930,108
576435,101051,27.9,369,930,108
576758,101050,27.9,369,930,108
577081,101047,27.9,369,930,108
577403,101048,27.9,368,930,108
577727,101042,27.9,368,929,108
578050,101046,27.9,367,929,108
578372,101045,27.9,367,929,108
578696,101045,27.9,367,929,108
579021,101047,27.9,366,929,108
579344,101052,27.9,366,929,108
579666,101046,27.9,367,930,108
579990,101045,27.9,369,931,108
580313,101046,27.9,370,931,108
580635,101046,27.9,371,931,108
580959,101047,27.9,371,931,108
581281,101044,27.9,372,931,108
581604,101050,27.9,372,932,108
581927,101041,27.9,373,932,108
582250,101047,27.9,373,932,108
582573,101043,27.9,373,932,108
582896,101047,27.9,373,932,108
583219,101047,27.9,373,931,108
583544,101050,27.9,373,931,108
583868,101048,27.9,372,931,108
584190,101048,27.9,372,931,108
584513,101040,27.9,372,931,108
584837,101048,27.9,372,931,108
585164,101049,27.9,372,931,108
585489,101048,27.9,372,931,108
585812,101046,27.9,372,930,108
586135,101047,27.9,372,930,108
586459,101051,27.9,371,930,108
586781,101044,27.9,371,930,108
587104,101047,27.9,370,929,108
587427,101047,27.9,370,929,108
587750,101050,27.9,370,929,108
588077,101047,27.9,369,929,108
588399,101048,27.9,369,929,108
588722,101045,27.9,369,929,108
589045,101045,27.9,369,930,108
589368,101047,27.9,369,930,108
589691,101047,27.9,369,930,108
590014,101046,27.9,368,930,108
590338,101044,27.9,368,930,108
590660,101048,27.9,368,929,108
590984,101046,27.9,367,929,108
591306,101048,27.9,367,929,108
591630,101045,27.9,366,929,108
591952,101045,27.9,366,929,108
592275,101043,27.9,366,929,108
592602,101044,27.9,366,929,108
592924,101049,27.9,365,929,108
593247,101048,27.9,365,929,108
593570,101048,27.9,366,929,108
593893,101046,27.9,366,930,108
594216,101046,27.9,366,930,108
594539,101049,28,365,930,108
594868,101044,28,365,929,108
595191,101044,28,365,929,108
595515,101040,28,364,928,108
595837,101046,28,364,927,108
596161,101047,28,363,926,108
596484,101045,28,364,927,108
596806,101049,28,364,927,108
597133,101046,28,365,929,108
597455,101047,28,366,929,108
597778,101044,28,366,930,108
598102,101050,28,366,930,108
598424,101047,28,366,930,108
598748,101046,28,366,929,108
599070,101050,28,365,928,108
599394,101046,28,365,928,108
599716,101047,28,364,927,108
600040,101049,28,364,926,108
600363,101043,28,363,926,108
600685,101045,28,363,926,108
601009,101050,28,363,926,108
601331,101048,28,363,927,108
601655,101049,28,363,927,108
601980,101047,28,362,927,108
602303,101049,28,362,927,108
602627,101044,28,362,927,108
602949,101047,28,362,927,108
603273,101049,28,362,927,108
603595,101050,28,361,927,108
603919,101044,28,361,927,108
604241,101046,28,362,927,108
604569,101048,28,362,927,108
604894,101046,28,361,927,108
605217,101050,28,361,927,108
605540,101050,28,361,927,108
605863,101049,28,361,926,108
606186,101052,28,361,926,108
606512,101049,28,360,925,108
606835,101052,28,360,925,108
607158,101048,28,360,925,108
607481,101051,28,360,925,108
607804,101045,28,360,925,108
608126,101048,28,360,925,108
608450,101046,28,360,925,108
608773,101047,28,360,925,107
609096,101048,28,360,926,107
609419,101050,28,360,926,108
609742,101048,28,360,926,108
610065,101045,28,360,925,107
610388,101050,28,360,925,107
610711,101049,28,360,925,107
611037,101046,28,359,925,107
611359,101044,28,359,924,107
611683,101047,28,359,924,107
612005,101049,28,359,925,107
612328,101043,28,359,925,107
612652,101050,28,359,926,107
612974,101049,28,359,925,107
613297,101048,28,359,924,107
613620,101049,28,359,923,107
613943,101048,28,359,923,107
614270,101049,28,359,923,107
614595,101050,28,358,920,107
614918,101046,28,358,918,107
615240,101047,28,357,918,107
615566,101047,28,357,918,107
615889,101048,28,357,918,107
616212,101048,28,357,919,107
616535,101051,28,357,919,107
616858,101048,28,357,920,107
617181,101044,28,357,920,107
617503,101044,28,357,920,107
617827,101049,28,357,921,107
618149,101048,28,357,921,107
618472,101046,28,358,922,107
618796,101047,28,358,922,107
619118,101045,28,358,923,107
619441,101044,28,358,923,107
619764,101046,28,358,924,107
620087,101045,28,359,925,107
620412,101043,28,360,925,107
620736,101044,28,360,925,107
621059,101045,28,360,925,107
621382,101045,28,360,925,107
621705,101043,28,360,925,107
622027,101044,28,360,925,107
622351,101039,28,360,925,107
622673,101041,28,360,925,107
622997,101041,28,360,925,107
623320,101043,28,360,925,107
623643,101046,28,360,925,107
623966,101046,28,360,925,107
624295,101043,28,360,925,107
624618,101045,28,360,925,107
624944,101041,28,359,925,107
625267,101044,28,359,924,107
625590,101043,28,359,925,107
625913,101047,28,358,925,107
626236,101043,28,358,925,107
626558,101045,28,358,925,107
626882,101050,28,358,925,107
627205,101047,28,358,925,107
627528,101042,28,358,924,107
627851,101044,28,358,924,107
628174,101046,28,357,923,107
628497,101043,28,357,922,107
628820,101046,28,357,922,107
629143,101044,28,356,922,107
629469,101042,28,356,922,107
629792,101041,28,356,922,107
630115,101044,28,356,922,107
630437,101048,28,356,922,107
630761,101048,28,356,921,107
631084,101044,28,356,921,107
631407,101050,28,356,920,107
631730,101046,28,356,920,107
632053,101049,28,356,919,107
632376,101045,28,356,919,107
632698,101048,28,356,919,107
633022,101046,28,356,918,107
633345,101044,28,355,918,107
633668,101048,28,355,918,107
634000,101046,28,355,918,107
634322,101051,28.1,355,918,107
634646,101050,28.1,355,918,107
634969,101051,28.1,355,918,107
635292,101049,28.1,356,919,107
635615,101051,28.1,356,919,107
635938,101048,28.1,356,919,107
636261,101053,28.1,356,919,107
636583,101047,28.1,356,919,107
636907,101049,28.1,357,919,107
637230,101049,28.1,356,919,107
637553,101050,28.1,356,919,107
637876,101048,28.1,356,919,107
638199,101050,28.1,356,919,107
638525,101049,28.1,356,919,107
638848,101049,28.1,355,919,107
639171,101046,28.1,355,919,107
639494,101051,28.1,355,919,107
639817,101047,28.1,355,919,107
640140,101049,28.1,355,919,106
640462,101052,28.1,355,920,107
640786,101050,28.1,355,920,107
641108,101053,28.1,355,920,107
641432,101053,28.1,355,920,107
641755,101047,28.1,355,921,107
642078,101048,28.1,355,921,107
642401,101046,28.1,356,921,107
642724,101047,28.1,356,922,107
643047,101047,28.1,356,922,107
643378,101050,28.1,357,923,107
643702,101055,28.1,357,923,107
644025,101050,28.1,357,923,107
644348,101046,28.1,358,924,107
644671,101051,28.1,358,924,107
644995,101053,28.1,358,924,107
645317,101050,28.1,359,924,107
645641,101051,28.1,359,924,107
645963,101049,28.1,359,924,107
646287,101050,28.1,359,924,107
646609,101048,28.1,359,924,107
646932,101052,28.1,359,924,107
647256,101049,28.1,359,924,107
647578,101047,28.1,359,923,107
647904,101048,28.1,359,923,107
648227,101049,28.1,359,923,107
648550,101051,28.1,359,924,107
648872,101051,28.1,359,923,107
649196,101050,28.1,359,923,107
649519,101049,28.1,359,923,107
649841,101048,28.1,359,923,107
650165,101050,28.1,359,924,107
650487,101051,28.1,359,924,107
650810,101052,28.1,359,924,107
651133,101052,28.1,359,924,107
651456,101048,28.1,359,924,107
651779,101053,28.1,359,924,107
652102,101055,28.1,359,924,107
652428,101049,28.1,359,924,107
652750,101052,28.1,359,924,107
653073,101050,28.1,358,923,107
